id,date,username,content,likeCount,retweetCount,replyCount,userId
1939824569042559441,2025-06-30 23:13:12+00:00,chickparmgiana,BOT LICKERS!!!! my boss asked me to ask chatgpt to write a 3 sentence apology to guests because the lazy river was down,2,0,0,29813870
1939705333439508746,2025-06-30 15:19:24+00:00,luvmoonv,we need a slur for people who constantly use AI and ChatGPT https://t.co/JXNrQzGR30,470622,30019,8350,1244639858691366912
1939817881979728342,2025-06-30 22:46:37+00:00,RevivedLotor,chatgpt is #down. how do i eat?,9,0,2,1914439262159667200
1939814926039548388,2025-06-30 22:34:53+00:00,CelestialNelly,Ehhh we really do need a slur or term for people that constantly use AI and ChatGPT exclusively because they are part of a phenomenon that I can never get down with. https://t.co/wbc5yr7GVE,2,1,0,1483764940817195010
1939812345678901234,2025-06-30 21:15:30+00:00,techuser123,ChatGPT is down again! This is getting ridiculous. How am I supposed to work?,45,12,8,1234567890123456789
1939812345678901235,2025-06-30 21:20:15+00:00,ai_critic,ChatGPT down for the 3rd time this week. These AI companies need to get their act together.,156,34,23,9876543210987654321
1939812345678901236,2025-06-30 21:25:45+00:00,student_helper,ChatGPT is not working! I have an essay due tomorrow and now I'm stuck.,23,5,12,5556667778889990001
1939812345678901237,2025-06-30 21:30:20+00:00,developer_mike,ChatGPT down again. Time to actually learn to code instead of relying on AI.,89,18,15,1112223334445556667
1939812345678901238,2025-06-30 21:35:10+00:00,content_creator,ChatGPT is down and I have 10 articles to write today. This is a disaster!,67,14,9,7778889990001112223
1939812345678901239,2025-06-30 21:40:05+00:00,ai_enthusiast,ChatGPT down again. When will these AI services become reliable?,34,7,4,3334445556667778889
1939812345678901240,2025-06-30 21:45:30+00:00,business_owner,ChatGPT is down and my team can't work. This is costing us money.,123,28,19,9990001112223334445
1939812345678901241,2025-06-30 21:50:15+00:00,teacher_ai,ChatGPT down again. My students are panicking about their assignments.,78,16,11,5556667778889990002
1939812345678901242,2025-06-30 21:55:40+00:00,researcher_jane,ChatGPT is not responding. I need it for my research paper deadline.,56,12,7,1112223334445556668
1939812345678901243,2025-06-30 22:00:25+00:00,marketing_pro,ChatGPT down again! How am I supposed to generate content for my clients?,92,21,14,7778889990001112224
1939812345678901244,2025-06-30 22:05:10+00:00,startup_founder,ChatGPT is down and my startup is dead in the water. Need it for investor pitch.,145,31,22,3334445556667778890
1939812345678901245,2025-06-30 22:10:35+00:00,writer_ai,ChatGPT down again. My book deadline is tomorrow and I'm freaking out.,67,15,8,9990001112223334446
1939812345678901246,2025-06-30 22:15:20+00:00,student_help,ChatGPT is not working! I have finals tomorrow and need help studying.,34,8,5,5556667778889990003
1939812345678901247,2025-06-30 22:20:45+00:00,ai_dependent,ChatGPT down again. I literally don't know how to function without it.,189,42,31,1112223334445556669
1939812345678901248,2025-06-30 22:25:30+00:00,tech_blogger,ChatGPT is down and my blog is suffering. These outages are getting worse.,78,17,12,7778889990001112225
1939812345678901249,2025-06-30 22:30:15+00:00,consultant_ai,ChatGPT down again. My clients are asking for refunds because I can't deliver.,112,25,18,3334445556667778891
1939812345678901250,2025-06-30 22:35:40+00:00,academic_ai,ChatGPT is not responding. I have a conference presentation tomorrow.,45,10,6,9990001112223334447 